127.0.0.1 - - [27/Nov/2019:18:45:44 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:48 +0800] "GET /bjsxt/index.jsp HTTP/1.1" 200 3621
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:48 +0800] "GET /bjsxt/resources/css/public.css HTTP/1.1" 200 12602
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:48 +0800] "GET /bjsxt/resources/layui/layui.js HTTP/1.1" 200 7013
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:48 +0800] "GET /bjsxt/resources/js/cache.js HTTP/1.1" 200 15580
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:48 +0800] "GET /bjsxt/resources/layui/css/layui.css HTTP/1.1" 200 73216
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:48 +0800] "GET /bjsxt/resources/images/code.jpg HTTP/1.1" 200 13216
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:48 +0800] "GET /bjsxt/resources/images/face.jpg HTTP/1.1" 200 24718
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:49 +0800] "GET /bjsxt/resources/images/login_bg.jpg HTTP/1.1" 200 176859
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:49 +0800] "GET /bjsxt/resources/layui/lay/modules/form.js HTTP/1.1" 200 9329
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:49 +0800] "GET /bjsxt/resources/layui/lay/modules/layer.js HTTP/1.1" 200 22041
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:49 +0800] "GET /bjsxt/resources/layui/lay/modules/jquery.js HTTP/1.1" 200 97648
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:49 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/index.jsp HTTP/1.1" 200 3621
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/layui/css/layui.css HTTP/1.1" 200 73216
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/css/public.css HTTP/1.1" 200 12602
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/images/face.jpg HTTP/1.1" 200 24718
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/layui/layui.js HTTP/1.1" 200 7013
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/images/code.jpg HTTP/1.1" 200 13216
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/js/cache.js HTTP/1.1" 200 15580
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/layui/lay/modules/form.js HTTP/1.1" 200 9329
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/images/login_bg.jpg HTTP/1.1" 200 176859
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/layui/lay/modules/layer.js HTTP/1.1" 200 22041
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/layui/lay/modules/jquery.js HTTP/1.1" 200 97648
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:45:59 +0800] "GET /bjsxt/resources/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:44 +0800] "POST /bjsxt/login/login.action HTTP/1.1" 200 10265
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:44 +0800] "GET /bjsxt/resources/css/index.css HTTP/1.1" 200 10097
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:44 +0800] "GET /bjsxt/resources/js/bodyTab.js HTTP/1.1" 200 15289
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:44 +0800] "GET /bjsxt/resources/layui/font/iconfont.woff2?v=250 HTTP/1.1" 200 23140
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:44 +0800] "GET /bjsxt/resources/layui/lay/modules/element.js HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:45 +0800] "GET /bjsxt/desk/toDeskManager.action HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:45 +0800] "GET /bjsxt/login/favicon.ico HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:45 +0800] "GET /bjsxt/menu/loadIndexLeftMenuJson.action HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:45 +0800] "GET /bjsxt/news/loadAllNews.action?page=1&limit=10 HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:51 +0800] "GET /bjsxt/customer/toCustomerManager.action HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:53 +0800] "GET /bjsxt/car/toCarManager.action HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:46:54 +0800] "GET /bjsxt/rent/toRentCarManager.action HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/sys/toMenuManager.action HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/sys/toMenuLeft.action HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/sys/toMenuRight.action HTTP/1.1" 200 12040
0:0:0:0:0:0:0:1 - - [27/Nov/2019:18:47:04 +0800] "GET /bjsxt/resources/layui_ext/dtree/dtree.css HTTP/1.1" 200 5227
