127.0.0.1 - - [18/Dec/2019:11:21:05 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:07 +0800] "GET /java_1123/ HTTP/1.1" 200 4592
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:07 +0800] "GET /java_1123/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:07 +0800] "GET /java_1123/static/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:07 +0800] "GET /java_1123/static/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:07 +0800] "GET /java_1123/static/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:07 +0800] "GET /java_1123/static/js/echarts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:07 +0800] "GET /java_1123/static/img/flags/16/CN.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:09 +0800] "GET /java_1123/fans/getMostFansNumUser.do HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/ HTTP/1.1" 200 4592
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/static/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/static/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/static/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/static/img/flags/16/CN.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/static/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/static/js/echarts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2019:11:21:23 +0800] "GET /java_1123/fans/getMostFansNumUser.do HTTP/1.1" 200 3615
